AL,Alabama,Montgomery,35004 to 36925
AK,Alaska,Juneau,99501 to 99950
AZ,Arizona,Phoenix,85001 to 86556
AR,Arkansas,Little Rock,71601 to 72959
CA,California,Sacramento,90001 to 96162
CO,Colorado,Denver,80001 to 81658
CT,Connecticut,Hartford,06001 to 06928
DE,Delaware,Dover,19701 to 19980
FL,Florida,Tallahassee,32003 to 34997
GA,Georgia,Atlanta,30002 to 39901
HI,Hawaii,Honolulu,96701 to 96898
ID,Idaho,Boise,83201 to 83877
IL,Illinois,Springfield,60001 to 62999
IN,Indiana,Indianapolis,46001 to 47997
IA,Iowa,Des Moines,50001 to 52809
KS,Kansas,Topeka,66002 to 67954
KY,Kentucky,Frankfort,40003 to 42788
LA,Louisiana,Baton Rouge,70001 to 71497
ME,Maine,Augusta,03901 to 04992
MD,Maryland,Annapolis,20588 to 21930
MA,Massachusetts,Boston,01001 to 05544
MI,Michigan,Lansing,48001 to 49971
MN,Minnesota,Saint Paul,55001 to 56763
MS,Mississippi,Jackson,38601 to 39776
MO,Missouri,Jefferson City,63001 to 65899
MT,Montana,Helena,59001 to 59937
NE,Nebraska,Lincoln,68001 to 69367
NV,Nevada,Carson City,88901 to 89883
NH,New Hampshire,Concord,03031 to 03897
NJ,New Jersey,Trenton,07001 to 08989
NM,New Mexico,Santa Fe,87001 to 88439
NY,New York,Albany,00501 to 14925
NC,North Carolina,Raleigh,27006 to 28909
ND,North Dakota,Bismarck,58001 to 58856
OH,Ohio,Columbus,43001 to 45999
OK,Oklahoma,Oklahoma City,73001 to 74966
OR,Oregon,Salem,97001 to 97920
PA,Pennsylvania,Harrisburg,15001 to 19640
RI,Rhode Island,Providence,02801 to 02940
SC,South Carolina,Columbia,29001 to 29945
SD,South Dakota,Pierre,57001 to 57799
TN,Tennessee,Nashville,37010 to 38589
TX,Texas,Austin,73301 to 88595
UT,Utah,Salt Lake City,84001 to 84791
VT,Vermont,Montpelier,05001 to 05907
VA,Virginia,Richmond,20101 to 24658
WA,Washington,Olympia,98001 to 99403
WV,West Virginia,Charleston,24701 to 26886
WI,Wisconsin,Madison,53001 to 54990
WY,Wyoming,Cheyenne,82001 to 83414
